Product Name,Brand,Price (Ksh),Discount,Reviews,Rating
,,"KSh 9,100",24%,0,
,,"KSh 6,999",42%,0,
,,"KSh 16,994",39%,0,
,,"KSh 8,930",40%,0,
,,"KSh 1,798",14%,0,
,,"KSh 24,699",33%,0,
,,"KSh 12,999",13%,0,
,,"KSh 13,999",30%,0,
,,KSh 774,9%,0,
,,"KSh 16,299",31%,0,
,,"KSh 16,999",43%,0,
,,"KSh 1,999",60%,0,
,,"KSh 4,299",0%,1 out of 5(1),1 out of 5
,,KSh 260,0%,4.3 out of 5(3),4.3 out of 5
,,"KSh 1,380",0%,4.4 out of 5(10),4.4 out of 5
,,KSh 469,0%,4 out of 5(3437),4 out of 5
,,KSh 239,0%,4.9 out of 5(14),4.9 out of 5
,,KSh 699,0%,4.1 out of 5(372),4.1 out of 5
,,"KSh 1,139",0%,3.3 out of 5(11),3.3 out of 5
,,"KSh 3,387",0%,4.7 out of 5(10),4.7 out of 5
,,"KSh 1,500",0%,4 out of 5(1),4 out of 5
,,"KSh 9,999",0%,0,
,,"KSh 12,500",0%,3.5 out of 5(2),3.5 out of 5
,,KSh 440,0%,4.4 out of 5(25),4.4 out of 5
,,KSh 659,0%,4.1 out of 5(251),4.1 out of 5
,,"KSh 1,119",0%,0,
,,"KSh 1,399",0%,3.9 out of 5(102),3.9 out of 5
,,KSh 799,0%,3.9 out of 5(1867),3.9 out of 5
,,KSh 420,0%,3.9 out of 5(524),3.9 out of 5
,,KSh 310,0%,4.2 out of 5(61),4.2 out of 5
,,KSh 358,0%,4.4 out of 5(2121),4.4 out of 5
,,KSh 128,0%,0,
,,KSh 498,0%,4.2 out of 5(47),4.2 out of 5
,,KSh 390,0%,3.6 out of 5(75),3.6 out of 5
,,"KSh 2,399",0%,4.1 out of 5(38),4.1 out of 5
,,"KSh 1,799",0%,4.5 out of 5(279),4.5 out of 5
,,KSh 700,0%,5 out of 5(4),5 out of 5
,,KSh 219,0%,3.4 out of 5(66),3.4 out of 5
,,KSh 88,0%,4 out of 5(8),4 out of 5
,,KSh 160,0%,5 out of 5(1),5 out of 5
,,KSh 889,0%,3.7 out of 5(40),3.7 out of 5
,,KSh 67,0%,0,
,,"KSh 8,695",0%,4.6 out of 5(53),4.6 out of 5
,,KSh 258,0%,1.5 out of 5(2),1.5 out of 5
,,"KSh 1,733",0%,3.8 out of 5(21),3.8 out of 5
,,"KSh 1,480",0%,4.5 out of 5(489),4.5 out of 5
,,KSh 190,0%,5 out of 5(1),5 out of 5
,,KSh 185,0%,3.3 out of 5(4),3.3 out of 5
,,KSh 899,0%,3.8 out of 5(4),3.8 out of 5
,,"KSh 1,100",0%,3.7 out of 5(152),3.7 out of 5
,,"KSh 1,350",0%,3.9 out of 5(79),3.9 out of 5
,,KSh 741,0%,4 out of 5(46),4 out of 5
